tweet,labels
"Russia and Ukraine just swapped large numbers of prisoners. Very good news, perhaps a first giant step to peace. Congratulations to both countries!",True
"“In 22 years of patrolling our Southern Border, I have never seen Mexico act like a true Border Security Partner until President Trump got involved, and now they are stepping up to the plate and doing what they need to do.” Brandon Judd, National Border Patrol",True
"The Washington Post’s @PhilipRucker (Mr. Off the Record) & @AshleyRParker, two nasty lightweight reporters, shouldn’t even be allowed on the grounds of the White House because their reporting is so DISGUSTING & FAKE. Also, add the appointment of MANY Federal Judges this Summer!https://twitter.com/realdonaldtrump/status/1170097018901020673 …",True
"I want to congratulate @senatemajldr Mitch McConnell and all Republicans. Today I signed the 160th Federal Judge to the Bench. Within a short period of time we will be at over 200 Federal Judges, including many in the Appellate Courts & two great new U.S. Supreme Court Justices!",True
"....I would also like to thank “Papa” Doug Manchester, hopefully the next Ambassador to the Bahamas, for the incredible amount of time, money and passion he has spent on helping to bring safety to the Bahamas. Much work to be done by the Bahamian Government. We will help! @OANN",True
"Thank you to Bahamian Prime Minister Hubert Minnis for your very gracious and kind words in saying that without the help of the United States and me, their would have been many more casualties. I give all credit to FEMA, the U.S. Coast Guard, & the brave people of the Bahamas..",True
"China just enacted a major stimulus plan. With all the Tariffs THEY are paying to the USA, Billions and Billions of Dollars, they need it! In the meantime, our Federal Reserve sits back and does NOTHING!",True
"PROMISES MADE, PROMISES KEPT!pic.twitter.com/chGpYgkmo7",True
pic.twitter.com/sQ70fKcTjV,True
"....that were not hit – and that are in good condition. Any cruise ship companies willing to act as stationary housing, etc., I am sure would be appreciated!",True
"The @USCG, @FEMA, and all others, along with other countries that have been helping, have been asked to move people in the badly hit sections of the Bahamas to other sections of the Bahamas....",True
“The Washington Post’s Lost Summer”https://www.washingtonexaminer.com/opinion/op-eds/the-washington-posts-lost-summer …,True
pic.twitter.com/tsIMIawIxh,True
pic.twitter.com/J3aTzBG7ao,True
"“China is eating the Tariffs.” Billions pouring into USA. Targeted Patriot Farmers getting massive Dollars from the incoming Tariffs! Good Jobs Numbers, No Inflation(Fed). China having worst year in decades. Talks happening, good for all!",True
The Economy is great. The only thing adding to “uncertainty” is the Fake News!,True
"Great job by FEMA, Law Enforcement, First Responders, U.S. Coast Guard, and ALL! Keep going, we all appreciate what you are doing!",True
....partner should start playing it straight. It would be so much better for our Country!,True
"....This nonsense has never happened to another President. Four days of corrupt reporting, still without an apology. But there are many things that the Fake News Media has not apologized to me for, like the Witch Hunt, or SpyGate! The LameStream Media and their Democrat.....",True
"The Fake News Media was fixated on the fact that I properly said, at the beginnings of Hurricane Dorian, that in addition to Florida & other states, Alabama may also be grazed or hit. They went Crazy, hoping against hope that I made a mistake (which I didn’t). Check out maps.....",True
Larry Kudlow on @Varneyco now!,True
"Our great @JudgeJeanine has just written a book that will add to the tremendous success of her last number one best seller. It’s called, “Radicals, Resistance, and Revenge, The Left’s Plot To Remake America.” It is a FANTASTIC book. Go get it! @foxandfriends",True
Great interview of Sarah Sanders by @foxandfriends. She is a terrific person with a great future!,True
Congratulations to @edhenry and his sister on a great success. What a wonderful thing to do!,True
"I agree with @jimcramer, the Fed should lower rates. They were WAY too early to raise, and Way too late to cut - and big dose quantitative tightening didn’t exactly help either. Where did I find this guy Jerome? Oh well, you can’t win them all!",True
"DACA will be going before the Supreme Court. It is a document that even President Obama didn’t feel he had the legal right to sign - he signed it anyway! Rest assured that if the SC does what all say it must, based on the law, a bipartisan deal will be made to the benefit of all!",True
"....President Obama never had the legal right to sign DACA, and he indicated so at the time of signing. But In any event, how can he have the right to sign and I don’t have the right to “unsigned.” Totally illegal document which would actually give the President new powers.",True
....have the discretion to end the program that President Obama began in his discretion. That program was unlawful to begin with. I think it’s very unlikely that the SCOTUS is going to issue an order reinstating what it believes is an unlawful program. DACA Is unlawful.” .....,True
"The Immigration Law Institute’s Christopher Hajec says, “The Supreme Court has to look st whether DACA is lawful. What they are looking at now is whether Trump’s recision of DACA is lawful. Must consider lawfulness of DACA itself. Looks very odd that President Trump doesn’t.....",True
"....that our economy is very strong. If the Fed would lower rates to where the bond market says they should be, then I really wouldn’t worry about a recession.” @jimcramer @JoeSquawk",True
"“I think President Trump is set in his ways because he doesn’t see any weakening. I mean, look at the joblessness report today. What I’m surprised at is how strong the consumer is. I think the Chinese need it (a deal) more than we do. It’s statistical. I just think....",True
"Looking forward to watching @SarahHuckabee Sanders tomorrow morning on @FoxandFriends, by far the #1 rated show on Morning Cable at 8:30am. Sarah will be an incredible addition to @FoxNews!",True
"Great job done by @GovRonDesantis, @SenRickScott, Senator @MarcoRubio, and all of the those from Florida that were so brilliantly involved, including @FEMA, @USCG, Law Enforcement and First Responders. Thank you all!",True
"Just got off the phone with Governor Brian Kemp ( @GovKemp) of Georgia. Happy to hear that things are looking good for everyone. I stand by ready to assist, along with our great team at @FEMA – we’re with you ALL THE WAY!",True
"Just spoke to Governor @HenryMcMaster of South Carolina regarding Hurricane Dorian. I informed Henry that we are monitoring South Carolina and stand by ready to assist. Be safe everyone, we are totally with you!",True
"Just talked to Governor Roy Cooper of North Carolina as Hurricane Dorian ominously comes up the East Coast. We are monitoring it at the @WhiteHouse, ready to assist via our great team over at @FEMA, who are already on site. We are with you all the way North Carolina. BE SAFE!",True
I was with you all the way Alabama. The Fake News Media was not!https://twitter.com/alabamang/status/1167439608638038018 …,True
"Just as I said, Alabama was originally projected to be hit. The Fake News denies it!pic.twitter.com/elJ7ROfm2p",True
....His dedication to Israel and to seeking peace between Israel and the Palestinians won’t be forgotten. He will be missed. Thank you Jason!,True
"After almost 3 years in my Administration, Jason Greenblatt will be leaving to pursue work in the private sector. Jason has been a loyal and great friend and fantastic lawyer....",True
Really Good Jobs Numbers!,True
"Alabama was going to be hit or grazed, and then Hurricane Dorian took a different path (up along the East Coast). The Fake News knows this very well. That’s why they’re the Fake News!",True
"....said what she did, even being on a much higher rated show, she would have been thrown off television. Will Fake News NBC allow a McCarthy style Racist to continue? ABC fired Roseanne. Watch the double standard!",True
"Bad “actress” Debra The Mess Messing is in hot water. She wants to create a “Blacklist” of Trump supporters, & is being accused of McCarthyism. Is also being accused of being a Racist because of the terrible things she said about blacks and mental illness. If Roseanne Barr....",True
"....Instead it turned North and went up the coast, where it continues now. In the one model through Florida, the Great State of Alabama would have been hit or grazed. In the path it took, no. Read my FULL FEMA statement. What I said was accurate! All Fake News in order to demean!",True
"In the early days of the hurricane, when it was predicted that Dorian would go through Miami or West Palm Beach, even before it reached the Bahamas, certain models strongly suggested that Alabama & Georgia would be hit as it made its way through Florida & to the Gulf....",True
Thank you Terrence. Best Employment Numbers In History for African Americans!https://twitter.com/w_terrence/status/1169295369609592832 …,True
pic.twitter.com/bxSiT2zQDj,True
"....information does come out.” Charlie Hurt, Washington Times @LouDobbs",True
"....facts, and that should terrify every American regardless of their political stripe. The idea that all of that information hasn’t already been revealed shows how dastardly these people are, and how terrified they are about what’s going to happen when that....",True
"“Absolutely nothing is more important than going back & getting to the bottom of the origins of the investigation. We had an administration using America’s Spying Apparatus to spy on a political opponent at the height of a presidential election. Those are all known, undisputed...",True
"This was the originally projected path of the Hurricane in its early stages. As you can see, almost all models predicted it to go through Florida also hitting Georgia and Alabama. I accept the Fake News apologies!pic.twitter.com/0uCT0Qvyo6",True
"State Rep Greg Murphy is running for Congress in North Carolina, District 3. We really need Greg in Washington. He is great w/ the Military, our Vets, & your 2A. Strong on Crime and the Border, has had my Total Endorsement for a long time. Please vote for Greg on September 10th!",True
"7. The badly flawed Paris Climate Agreement protects the polluters, hurts Americans, and cost a fortune. NOT ON MY WATCH! 8. I want crystal clean water and the cleanest and the purest air on the planet – we’ve now got that!",True
6. The Democrats’ destructive “environmental” proposals will raise your energy bill and prices at the pump. Don't the Democrats care about fighting American poverty?,True
4. The U.S. now leads the world in energy production... BUT... 5. Who's got the world's cleanest and safest air and water? AMERICA!,True
1. Which country has the largest carbon emission reduction? AMERICA! 2. Who has dumped the most carbon into the air? CHINA! 3. 91% of the world’s population are exposed to air pollution above the World Health Organization’s suggested level. NONE ARE IN THE U.S.A.!,True
8 FACTS that #FakeNewsCNN will ignore in tonight’s “Climate Forum”,True
"....We can’t have a system where we run our entire economy for the benefit of other countries, which have long charged us big tariffs. Don’t keep ducking the reality. The U.S. has been subject to Tariff Terrorism for 50 years. But a real deal can be done.” Sam Zell @JoeSquawk",True
"....Trump is doing to China is not lost on the rest of the world. Europe has had among the most protectionist policies forever. They’re sitting there and saying, gee, are we next? Maybe you are! We’ve got to change the rules. The U.S. can’t defend the world and pay for it....",True
"“The Chinese are very adept at not accepting anything. You’ve got to be very tough, and that’s what Trump is doing. It’s in China’s interest to correct, and I think we’ll end up with a solution that’s dramatically better than we have today. Frankly, I think the impact of what...",True
“U.S. Winning Trade War With China In Dollars.” CNBC,True
.....on the President of the United States.” @charliekirk11 @trish_regan,True
"“To declassify is so important because if this were a Democrat President or a Democrat Candidate, that was spied on the way President Trump was spied on, this would be a scandal that would make Watergate look like nothing. Illegal spying.....",True
"“I am so tired of hearing the rationalization of the Left in the country because they hate Donald Trump. Inexplicably and without foundation, they choose to hate America. The Democrats have truly become the party of hate.” @LouDobbs",True
The truth is that we have a nation that is disgusted with the FBI. We have a crisis of confidence in the number one law enforcement agency in this country (thanks Comey!). @LouDobbs “It’s a scandal.” @AlanDersh,True
"At the request of Senator Thom Tillis, I am getting the North Carolina Emergency Declaration completed and signed tonight. Hope you won’t need it!",True
"The U.S. may be getting a little bit lucky with respect to Hurricane Dorian, but please don’t let down your guard. As it heads up the coast, lots of very bad and unpredictable things can happen! On the other hand, the Bahamas have been devastated. We are sending crews to help!",True
@NHC_Atlantic,True
"....”knife crime,” which is totally out of control in London. People are afraid to even walk the streets. He is a terrible mayor who should stay out of our business!",True
"The incompetent Mayor of London, Sadiq Khan, was bothered that I played a very fast round of golf yesterday. Many Pols exercise for hours, or travel for weeks. Me, I run through one of my courses (very inexpensive). President Obama would fly to Hawaii. Kahn should focus on....",True
"Based on the IG Report, the whole Witch Hunt against me and my administration was a giant and illegal SCAM. The House of Representatives should now get back to work on drug prices, healthcare, infrastructure and all else. The Mueller Report showed No Collusion, No Obstruction!",True
"Germany, and so many other countries, have negative interest rates, “they get paid for loaning money,” and our Federal Reserve fails to act! Remember, these are also our weak currency competitors!",True
"For all of the “geniuses” out there, many who have been in other administrations and “taken to the cleaners” by China, that want me to get together with the EU and others to go after China Trade practices remember, the EU & all treat us VERY unfairly on Trade also. Will change!",True
"....And then, think what happens to China when I win. Deal would get MUCH TOUGHER! In the meantime, China’s Supply Chain will crumble and businesses, jobs and money will be gone!",True
"We are doing very well in our negotiations with China. While I am sure they would love to be dealing with a new administration so they could continue their practice of “ripoff USA”($600 B/year),16 months PLUS is a long time to be hemorrhaging jobs and companies on a long-shot....",True
"...Trade Agreement.” @business @ChuckGrassley @joniernst @SenatorFischer @BenSasse Making great progress for our Farmers. Approved E-15, year round. Big additional list to be submitted & approved within two weeks. Will be even better for Ethanol, and we save our small refineries!",True
"“Brazil will allow more American Ethanol to enter the country without Tariffs, a decision that Brazilian mills are celebrating. The seemingly counter-intuitive reaction stems from the tone of ongoing negotiations between the South American nation and the U.S. for a...",True
"....when in fact, under certain original scenarios, it was in fact correct that Alabama could have received some “hurt.” Always good to be prepared! But the Fake News is only interested in demeaning and belittling. Didn’t play my whole sentence or statement. Bad people!",True
"Such a phony hurricane report by lightweight reporter @jonkarl of @ABCWorldNews. I suggested yesterday at FEMA that, along with Florida, Georgia, South Carolina and North Carolina, even Alabama could possibly come into play, which WAS true. They made a big deal about this...",True
https://www.whitehouse.gov/presidential-actions/presidential-proclamation-on-labor-day-2019/ …,True
"....The good news is that we are winning. Our real opponent is not the Democrats, or the dwindling number of Republicans that lost their way and got left behind, our primary opponent is the Fake News Media. In the history of our Country, they have never been so bad!",True
"The LameStream Media has gone totally CRAZY! They write whatever they want, seldom have sources (even though they say they do), never do “fact checking” anymore, and are only looking for the “kill.” They take good news and make it bad. They are now beyond Fake, they are Corrupt..",True
"The Amazon Washington Post did a story that I brought racist attacks against the “Squad.” No, they brought racist attacks against our Nation. All I do is call them out for the horrible things they have said. The Democrats have become the Party of the Squad!",True
"....Trump Economics. With President Trump, Tariffs are bringing companies back to the USA like he said they would! @SteveHiltonx",True
"....swing states that went to Trump in 2016 because he promised not to forget about them like the establishment had done for decades, and their trust in President Trump, paid off as they saw their incomes rise...And it’s the lowest paid workers who have gained the most with....",True
"....Average hourly wages growth has far outpaced what we saw with President Obama. Across all industries, from mining and construction, to leisure & hospitality, With President Trump we see income growth in states like Iowa, Ohio, Pennsylvania, Wisconsin, Nevada, Florida,......",True
“The last three years of Trump policy have finally brought real hope and real change. Unemployment this year hit a 50 year low. With President Trump we’ve seen the lowest EVER African American and Hispanic unemployment. The booming Trump Economy has pushed up workers wages....,True
"“They are liars, and in my opinion, TRAITORS!” @LouDobbs talking about Comey and his dwindling group of friends.",True
"....and watched. NAFTA is the worst Trade Deal ever made - terrible for labor - and Richard let it stand. No wonder unions are losing so much. The workers will vote for me in 2020 (lowest unemployment, most jobs ever), and should stop paying exorbitant $Dues, not worth it!",True
Just watched AFL-CIO President Richard Trumka on @FoxNews and thought to myself how different he is on TV than he is when he is with me at the White House. Likes what we are doing until the cameras go on. We got robbed on Trade and everything else while his Dems just sat back....,True
"Since my election, many trillions of dollars of worth has been created for our Country, and the Stock Market is up over 50%. If you followed the advice of the Failing New York Times columnist, Paul Krugman, you’d be doing VERY poorly - you’d be angry and hurt. He never got it!",True
"....adds up to the most ambitious Pro-Worker policy agenda this Country has ever seen. The President promised Jobs, Jobs, Jobs, and that is exactly what he is delivering.” @SteveHiltonx @NextRevFNC @FoxNews",True
"“When you put everything together, the pro growth Tax & Regulation Cuts, help to retrain workers, the Tariffs which encourage manufacturers to come back to America, along with President Trumps tough approach on immigration (strong stance on illegals, promoting Merit Based), it...",True
".....this (Judge Thomas Ambro, Majotity Opinion), and thank God for a President like Donald J. Trump, who will appoint judges like this. He will soon have appointed 180 new Federal Judges, not even including two great new Supreme Court Justices.” @robertjeffress @LouDobbs",True
"“We hold that legislative prayer is government speech not open to attack via those channels.” Third Circuit, Court of Appeals. “Lou, that’s why this next Election is so important, the soul of America. They want to take religion out of American lives. Thank God for judges like....",True
"Pray for the people in the Bahamas. Being hit like never before, Category 5. Almost 200 MPH winds.",True
"Great job by Texas Law Enforcement and First Responders in handling the terrible shooting tragedy yesterday. Thank you also to the FBI, @GregAbbott_TX and all others. A very tough and sad situation!",True
"In addition to Florida - South Carolina, North Carolina, Georgia, and Alabama, will most likely be hit (much) harder than anticipated. Looking like one of the largest hurricanes ever. Already category 5. BE CAREFUL! GOD BLESS EVERYONE!",True
This is only the beginning!https://twitter.com/WhiteHouse/status/1167516107768573957 …,True
"I have not forgotten that when it was announced that I was going to do The Apprentice, and when it then became a big hit, helping NBC’s failed lineup greatly, @DebraMessing came up to me at an Upfront & profusely thanked me, even calling me “Sir.” How times have changed!",True
“Comey and McCabe (and more) are Dirty Cops.” Joe DiGenova,True
"....reports are coming. Comey very vulnerable. But where is the Supreme Court. Where is Justice Roberts? If you lie to a court, you should be held in contempt. So, if you abused the FISA, you must be held accountable. I hope Justice Roberts will take action.” Jason Chaffetz, Fox",True
"“James Comey has been rebuked at the highest level, with much more to come. An IG Report doesn’t get any stronger, calling him dangerous, insubordinate. THANK GOODNESS THAT DONALD TRUMP WAS ELECTED, BECAUSE IF HE WASN’T ELECTED, THESE PEOPLE WOULD STILL BE IN POWER. Two more.....",True
....is about American Freedom. Redirect the supply chain. There is no reason to buy everything from China!,True
"Peter Morici, Economist: Tariffs will not impact American consumers that much because the Chinese currency has gone down, which gives our importers a discount. Importers can find suppliers outside of China. Absolutely worth it, we don’t want to be servants to the Chinese! This...",True
Just briefed by Attorney General Barr about the shootings in Texas. FBI and Law Enforcement is fully engaged. More to follow.,True
"“The vindication belongs to the President for firing James Comey. It was clearly the right thing to do. You don’t want an FBI Director with Jim Comey’s ethics.” Jason Riley, Wall Street Journal",True
"Enjoy the low gas prices over the Labor Day weekend! My energy policies have made America energy independent while keeping prices low, just like a Tax Cut. The Democrats “green” policies will raise your price of gas!https://www.cnbc.com/2019/08/28/gas-prices-are-down-and-more-drivers-will-hit-the-road-this-labor-day.html …",True
"....but now we are moving forward like never before. We are winning again, and we are respected again!",True
"Being scolded by failed former “Intelligence” officials, like James Clapper, on my condolences to Iran on their failed Rocket launch. Sadly for the United States, guys like him, Comey, and the even dumber John Brennan, don’t have a clue. They really set our Country back,....",True
"Just watched Congresswoman Debbie Dingell, and many other Democrats, wanting to give up on our very successful Trade battle with China, which has had its worst Economic year in memory (and getting worse). We are taking in $Billions. Will be big for Farmers and ALL!",True
"Has anyone noticed that the top shows on @foxnews and cable ratings are those that are Fair (or great) to your favorite President, me! Congratulations to @seanhannity for being the number one show on Cable Television!",True
Dan will be GREAT!https://twitter.com/realdonaldtrump/status/1167552549974675458 …,True
"Looking like our great South Carolina could get hit MUCH harder than first thought. Georgia and North Carolina also. It’s moving around and very hard to predict, except that it is one of the biggest and strongest (and really wide) that we have seen in decades. Be safe!",True
"MAKE AMERICA GREAT AGAIN, which is happening, and then, KEEP AMERICA GREAT!",True
"I was right about Comey, CROOKED COP!",True
"A great team, working hard!https://twitter.com/fema_pete/status/1167581903542767616 …",True
"...Yes, I am currently suing various people for violating their confidentiality agreements. Disgusting and foul mouthed Omarosa is one. I gave her every break, despite the fact that she was despised by everyone, and she went for some cheap money from a book. Numerous others also!",True
"While Madeleine Westerhout has a fully enforceable confidentiality agreement, she is a very good person and I don’t think there would ever be reason to use it. She called me yesterday to apologize, had a bad night. I fully understood and forgave her! I love Tiffany, doing great!",True
"“The IG found that James Comey leaked Classified Documents to his attorneys, which can be (is) a violation of the Espionage Act. This is consistent with all the lies that Comey has been spreading. @GreggJarrett @ByronYork @LouDobbs",True
Cory is doing a Great job for Colorado!https://twitter.com/sencorygardner/status/1164267554476572677 …,True
Nobody knows more about Healthcare than John. Great guy!https://twitter.com/senjohnbarrasso/status/1166478831747772416 …,True
"An amazing guy, respected by all!https://twitter.com/grassleypress/status/1166466886558769152 …",True
Nobody works harder or smarter than Joni!https://twitter.com/senjoniernst/status/1166346732646670336 …,True
One of the greats!https://twitter.com/senatemajldr/status/1166771355653758976 …,True
Great job Thom!https://twitter.com/SenateGOP/status/1167508617857290240 …,True
Thank you Kevin. Great things are happening at the Border!https://twitter.com/SenKevinCramer/status/1167550058411253761 …,True
"I am monitoring Hurricane Dorian and receiving frequent briefings and updates. It is important to heed the directions of your State and Local Officials. This is an extremely dangerous storm, please prepare and be safe! @FEMA @NWS @NOAA @Readygov @FLSERThttps://twitter.com/govrondesantis/status/1167606379097538563 …",True
"....pass the laugh test, and the Inspector General just knocked that down.” @ByronYork @LouDobbs",True
"“They could have charged Comey with theft of government documents, 641 of the Criminal Code, because the IG found these were not his personal documents, these were government documents.” @GreggJarrett “Comey’s claim that these were just his own personal recollections would not..",True
Just arrived at Camp David!,True
"The Great State of North Carolina has EARLY VOTING for a very important Congressional (Ninth) race. Please vote early (now), or on Election Day, September 10th, for Dan Bishop, a great guy. His opponent wants Open Borders, Sanctuary Cities & is weak on Crime, Military & Vets!",True
pic.twitter.com/ufd7tsGyAx,True
This should NEVER happen to another President again!pic.twitter.com/4ynSXVo9e9,True
"""FALLOUT FROM IG'S SCATHING COMEY REPORT""pic.twitter.com/NrpeBkPbww",True
"“One of the most disgraceful examples of an abuse of power by a government official…when you read this report…this is a systematic effort to go after Candidate Trump, President Elect-Trump, and President Trump....you could virtually call this an attempted coup."" @RepPeteKingpic.twitter.com/eThclvr5Ke",True
Thanks @RepDougCollins - TRUE!pic.twitter.com/o49tPKdWct,True
The United States of America was not involved in the catastrophic accident during final launch preparations for the Safir SLV Launch at Semnan Launch Site One in Iran. I wish Iran best wishes and good luck in determining what happened at Site One.pic.twitter.com/z0iDj2L0Y3,True
"If the Fed would cut, we would have one of the biggest Stock Market increases in a long time. Badly run and weak companies are smartly blaming these small Tariffs instead of themselves for bad management...and who can really blame them for doing that? Excuses!",True
"....We don’t have a Tariff problem (we are reigning in bad and/or unfair players), we have a Fed problem. They don’t have a clue!",True
"The Euro is dropping against the Dollar “like crazy,” giving them a big export and manufacturing advantage...and the Fed does NOTHING! Our Dollar is now the strongest in history. Sounds good, doesn’t it? Except to those (manufacturers) that make product for sale outside the U.S.",True
pic.twitter.com/Ldpr6vjGdp,True
"Bryan Dean Wright, former CIA Officer(Dem): “In 2016 we had a Coup. We have to take Comey and others to task. Makes no sense not to prosecute him. Comey got a book deal. I fear for my Country. He tried to kneecap our duly elected president, and there are no consequences.” @fox&Fs",True
The fact that James Comey was not prosecuted for the absolutely horrible things he did just shows how fair and reasonable Attorney General Bill Barr is. So many people and experts that I have watched and read would have taken an entirely different course. Comey got Lucky!,True
"The disastrous IG Report on James Comey shows, in the strongest of terms, how unfairly I, and tens of millions of great people who support me, were treated. Our rights and liberties were illegally stripped away by this dishonest fool. We should be given our stolen time back?",True
An idea liked by many?https://twitter.com/SteveForbesCEO/status/1167135580372774912 …,True
"General Motors, which was once the Giant of Detroit, is now one of the smallest auto manufacturers there. They moved major plants to China, BEFORE I CAME INTO OFFICE. This was done despite the saving help given them by the USA. Now they should start moving back to America again?",True
pic.twitter.com/ufd7tsGyAx,True
Establishment of the U.S. Space Command!https://www.pscp.tv/w/cDgvDzFvTlFsTFJub1dwUXd8MVlwS2tZT25ydndKaqLw3mezwKw0VQi2Zsx-aLO0MB7bgfwiy9LSKAHHj_kK?t=2s …,True
Perhaps never in the history of our Country has someone been more thoroughly disgraced and excoriated than James Comey in the just released Inspector General’s Report. He should be ashamed of himself!,True
"The Farmers are going to be so happy when they see what we are doing for Ethanol, not even including the E-15, year around, which is already done. It will be a giant package, get ready! At the same time I was able to save the small refineries from certain closing. Great for all!",True
"The Economy is doing GREAT, with tremendous upside potential! If the Fed would do what they should, we are a Rocket upward!",True
